Restaurant Name,Address,Locality,Cost for 2,Cuisines,Rating text,Rating, 
Tyre Patty,"3rd Floor, BMC Bhawani Mall, Sahid Nagar, Bhubaneshwar","BMC Bhawani Mall, Sahid Nagar",500,Cafe,Good,3.91,
Silver Streak,"Ground Floor, BMC Bhawani Mall, Sahid Nagar, Bhubaneshwar","BMC Bhawani Mall, Sahid Nagar",550,Chinese,Very Good,4.1,
Barbeque Nation,"Plot 12-13/557, 3rd Floor, Mauza Samantapuri,Gajapati Nagar, Chandrasekharpur, Bhubaneshwar",Chandrasekharpur,1200,"Mediterranean, Asian, Continental, North Indian, Arabian",Excellent,4.6,
Central Perk 7,"Plot 133/A, District Center, Chandrasekharpur, Bhubaneshwar",Chandrasekharpur,600,"Cafe, Charcoal Grill, Steak",Excellent,4.5,
The Chicken Dinesty,"District Center, Niladri Vihar Road, Chandrasekharpur, Bhubaneshwar",Chandrasekharpur,500,"Fast Food, North Indian, Chinese",Good,3.9,
Taste Of China,"139, District Center, Chandrasekharpur, Bhubaneshwar",Chandrasekharpur,500,Chinese,Very Good,4,
Michael's Kitchen,"7798, Sainik School Road, Gajapati Nagar, Bhubaneswar, Gajapati Nagar, Bhubaneshwar",Gajapati Nagar,850,"North Indian, Asian, European",Good,3.7,
Mamma Mia - Mayfair Lagoon,"Mayfair Lagoon, 8-B, Jayadev Vihar, Bhubaneshwar","Mayfair Lagoon, Jayadev Vihar",1400,"Cafe, Italian, Mexican, Bakery",Very Good,4.1,
99 North ,"B36, Chandaka Industrial Estate, Near CTTC, Patia, Bhubaneshwar",Patia,450,"North Indian, Chinese",Good,3.6,
Adda,"4th Floor, SJ Complex, KIIT College Road, Patia, Bhubaneshwar",Patia,600,"North Indian, Chinese, Mexican, Beverages",Good,3.8,
Chill Ummm,"DS Tower, 2nd Floor, Plot 516/1763/4177, Near Big Bazar, Patia, Bhubaneshwar",Patia,450,"Chinese, North Indian, Cafe",Good,3.7,
Lal Qila,"Sampark Vihar, Opposite Big Bazaar, KIIT Square, Patia, Bhubaneshwar",Patia,500,"Mughlai, Chinese, North Indian",Good,3.7,
Richard's Kitchen,"Rooftop Bata Showroom, KIIT Square, Patia, Bhubaneshwar",Patia,450,"Cafe, Chinese, Fast Food, Seafood",Good,3.8,
Aangan Horizon,"Above Patia Pantaloons, Nandankanan Road, Patia, Bhubaneshwar",Patia,900,"North Indian, Chinese, Continental",Very Good,4,
Brewberrys The Coffee Bar,"3, Infocity Road, Patia, Bhubaneshwar",Patia,400,Cafe,Very Good,4,
Chai Break,"KIIT Road, PS Plaza, Patia, Bhubaneshwar",Patia,800,"Italian, Cafe, Chinese, Continental",Very Good,4.3,
JUGAAD JN.,"KIIT Road, Opposite SBI, Patia, Bhubaneshwar",Patia,300,"North Indian, Rajasthani",Very Good,4.1,
Cha cTea,"797, Near Shivam Honda Showroom, Sahid Nagar, Bhubaneshwar",Sahid Nagar,500,"Cafe, Tea",Good,3.8,
Food Fever,"A-54, Opposite Law University, Sahid Nagar, Bhubaneshwar",Sahid Nagar,900,"Chinese, North Indian",Very Good,4.2,
Mainland China,"The Crown, A1, Near IRC Village, Nayapalli, Bhubaneshwar","The Crown, Nayapalli",1500,Chinese,Very Good,4.3,
Eram Rooftop,"206, 3rd Floor, Suryansh Enclave, Shastri Nagar, Unit 4, Bhubaneshwar",Unit 4,400,"Asian, Continental",Good,3.5,
