Monument Name,Locality,Rating,Type,Temple,Photography,Parks and Nature,Museum and Imp. Buildings
Sun Temple,Korda,4.6,Temple,TRUE,TRUE,FALSE,FALSE
Bhaskareswar Temple,Pandav Nagar,4.6,Temple,TRUE,FALSE,FALSE,FALSE
Brahmeswar Temple,Brahmeswarpatna,4.5,Temple,TRUE,FALSE,FALSE,FALSE
Rameswar Temple, Gautam Nagar,4.6,Temple,TRUE,FALSE,FALSE,FALSE
Megheswar Temple,Megheshwar Colony,4.7,Temple,TRUE,FALSE,FALSE,FALSE
Anantavasudev Temple, Old Town,4.4,Temple,TRUE,FALSE,FALSE,FALSE
Bakreswar Temple,Pandav Nagar,4.7,Temple,TRUE,FALSE,FALSE,FALSE
Vaital Deul,Old Town,4.4,Temple,TRUE,FALSE,FALSE,FALSE
Chitrakarini Temple,Lingaraj Nagar,4.3,Temple,TRUE,FALSE,FALSE,FALSE
Yameswar Temple,"Old Town, Bhubaneswar",4.6,Temple,TRUE,FALSE,FALSE,FALSE
Lingraj Temple,"Lingaraj Nagar, Old Town",4.5,Temple,TRUE,FALSE,FALSE,FALSE
Muktesvara Temple,Old Town,4.6,Temple,TRUE,FALSE,FALSE,FALSE
Makandeswar Temple, Old Town,5,Temple,TRUE,FALSE,FALSE,FALSE
Parsurameswar Temple, Old Town,4.5,Temple,TRUE,FALSE,FALSE,FALSE
Siddheswar Temple,"UP & TTI Campus, Laxmi Sagar",5,Temple,TRUE,FALSE,FALSE,FALSE
Papanasini Tank, Old Town,4.5,Temple,TRUE,FALSE,FALSE,FALSE
Sisireswar Temple, Old Town,4.5,Temple,TRUE,FALSE,FALSE,FALSE
Sari Deul,Behind Jagannath Ballabh Matha,4.6,Temple,TRUE,FALSE,FALSE,FALSE
Museum of Tribal Arts and Artifacts, Nayapalli,4.6,museun,FALSE,FALSE,FALSE,TRUE
Nandankanan Zoological Park,Barang,4.4,Wildlife & photography,FALSE,TRUE,TRUE,FALSE
Dhauli Shanti Stupa,Dhaulgiri Hills,4.5,Historical,FALSE,FALSE,FALSE,TRUE
Dhauli Giri Hills,Bhubaneshwar,4,Trekking,FALSE,TRUE,TRUE,FALSE
Chilika Lake,Satapada ,4.3,"Boating, Bird Watching",FALSE,TRUE,TRUE,FALSE
Udaigiri Pilgrimage,Khandagiri,4.3,Worship & Photography,FALSE,TRUE,FALSE,FALSE
Buddha Jayanti Park, Khordha ,4.5,Park,FALSE,FALSE,TRUE,FALSE
CIFA Aquarium,Uttara,4.1,Fish Watching,FALSE,FALSE,TRUE,TRUE
Ekamra Kanan, Nayapalli,4.3,Park,FALSE,FALSE,TRUE,FALSE
Regional Science Centre ,Pandit Jawaharlal Nehru Marg,4.3,Science Centre,FALSE,FALSE,FALSE,TRUE
Biju Patnaik Park,Forest Park,4.3,Park,FALSE,FALSE,TRUE,FALSE
Pathani Samanta Planetarium,Gajapati Nagar,4.3,Science Centre,FALSE,FALSE,FALSE,TRUE
ISKCON Temple, Nayapalli,4.5,Worship & Photography,TRUE,FALSE,FALSE,FALSE
